ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.529304448,210.0040335,28970.08761,4.250150949,,422.8175562,7.091298157,83.69015567,3.361088407,0
5.152203722,207.2992598,27000.10688,6.691806012,,350.0049779,12.49050929,49.85296456,4.689842818,0
7.858662779,210.954754,26703.85347,6.509065395,341.3418987,374.0728447,8.811986112,72.79979791,3.422470521,0
7.704410252,234.6359511,22057.37916,8.12440319,,397.3996598,14.89756316,50.92043606,3.031364369,0
6.728004386,201.1268956,22888.78806,7.663987986,319.4634909,325.5375394,16.78830607,58.96122018,4.410697353,0
10.46450248,190.9948483,6700.775054,6.879857695,,498.9319114,14.56216135,66.70162143,4.956358408,0
9.11278625,205.9410721,20868.62798,6.962789991,330.9342898,422.039495,16.12897565,77.79653007,4.567087634,0
8.079808358,174.1610935,12677.8415,7.295211586,333.5825418,589.5522114,14.85222533,39.52938651,3.611057441,0
7.078659419,232.5818483,26177.78951,3.914353184,334.1611267,380.4599178,9.633631144,41.95193959,3.696640141,0
,139.3311518,2912.211247,10.33823398,343.3180208,532.8851961,11.07834122,42.17282405,4.093097749,0
8.043889299,169.6882249,8896.195118,7.837861189,328.9398171,430.8368251,12.26349197,76.33424712,3.15994937,0
7.040244978,192.9559825,20988.42941,6.422359011,320.9488442,381.3573499,15.39645507,88.29846498,3.993409764,0
5.483974109,166.1618369,21144.97526,7.607610853,322.7330944,306.3559039,14.17100954,64.13652848,4.063613621,0
8.53440688,248.5774824,22372.30327,2.993744061,366.1462494,341.7601979,14.69290181,78.70893662,2.544733701,0
7.266594535,176.8536963,14859.05966,8.261778152,327.1722524,445.037456,19.923704,87.06613098,3.357439471,0
6.256651148,181.0723073,16905.80152,11.58615108,,481.3070516,10.63974342,74.55724056,4.181050753,0
7.240351006,201.9971958,14462.67431,6.73717605,314.0431372,534.8009878,14.21379446,82.94581671,3.7829719,0
8.692115322,144.2363578,2552.962804,9.202633941,347.9751368,517.4274709,13.96342114,42.38866132,2.283475159,0
8.639540978,168.6139666,7013.211787,8.451601045,355.2138966,419.788898,17.92939462,33.6415395,4.192932215,0
7.179864149,180.8542106,10859.55375,8.263503442,341.3024863,358.0562635,12.06531693,83.32991786,3.878447314,0
7.163999223,203.7815979,34226.07213,9.412034556,320.2589172,415.5775127,16.22104374,90.18420845,3.354322267,0
8.926113143,189.987947,15249.62024,7.076221686,341.5268734,361.9016284,21.27809453,,2.752134121,0
